Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Snowcloud,Do [ice]<double> damage|Freeze ALL dice,2,inflict(ICE[;] ALL); sfx(~_ice~); attack(d[;] ICE); sfxdamage(target[;] d);,Arctic Storm,MAX3,,BRIGHTCYAN,increaserange,decreaserange,,,0,NO,NO,,,,,,,,,,,,,
Smack,Do [sword]4 damage,1,attack(d); sfxdamage(target[;] d);,Pea Gun,MAX3,,RED,simplify,complicate,,,0,NO,NO,,,,,,,,,,,,,
Slush Ball,Do [ice]<d6> damage|Inflict [shiver]Slush,1,inflict(~Slush~); sfx(~_ice~); attack(d[;] ICE); sfxdamage(target[;] d);,Slushie,ODD,,BRIGHTCYAN,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Slush Ball_upgraded,Do [ice]<d6> damage|Inflict [shiver]Slush,1,inflict(~Slush~); sfx(~_ice~); attack(d[;] ICE); sfxdamage(target[;] d);,Slushie,ODD|FREE1,,BRIGHTCYAN,,,,,0,NO,NO,,,,,,,,,,,,,
Slush Ball_downgraded,Do [ice]<d6> damage,1,sfx(~_ice~); attack(d[;] ICE); sfxdamage(target[;] d);,Slushie,ODD,,BRIGHTCYAN,,,,,0,NO,NO,,,,,,,,,,,,,
Slushie,Inflict [shiver]3 slush,2,inflict(~Slush~[;] 3); sfx(~_ice~);,Slushie,REQUIRE1|REQUIRE1,,BRIGHTCYAN,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Slushie_upgraded,Inflict [shiver]3 slush,2,inflict(~Slush~[;] 3); sfx(~_ice~);,Slushie,DOUBLES|DOUBLES,,BRIGHTCYAN,,,,,0,NO,NO,,,,,,,,,,,,,
Slushie_downgraded,Inflict [shiver]1 slush,2,inflict(~Slush~); sfx(~_ice~);,Slushie,REQUIRE1|REQUIRE1,,BRIGHTCYAN,,,,,0,NO,NO,,,,,,,,,,,,,
Freezer,In [jinx]<d6> turns[;]|freeze [ice]20 dice on self,1,jinx(~Freezer~[;]~Freeze [ice]%VAR% dice~[;]~Freeze [ice]%VAR% Dice~[;]~inflict(\~ice\~[;]%VAR%); sfx(\~_ice\~);~[;]self[;]self[;]d[;](20)); sfx(~_thinghappens~);,Refrigerator,ODD,,BRIGHTCYAN,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Freezer_upgraded,In [jinx]<d6> turns[;]|freeze [ice]20 dice on self,1,jinx(~Freezer~[;]~Freeze [ice]%VAR% dice~[;]~Freeze [ice]%VAR% Dice~[;]~inflict(\~ice\~[;]%VAR%); sfx(\~_ice\~);~[;]self[;]self[;]d[;](20)); sfx(~_thinghappens~);,Refrigerator,NORMAL,,BRIGHTCYAN,,,,,0,YES,NO,,,,,,,,,,,,,
Freezer_downgraded,In [jinx]<d6> turns[;]|freeze [ice]20 dice on self,1,jinx(~Freezer~[;]~Freeze [ice]%VAR% dice~[;]~Freeze [ice]%VAR% Dice~[;]~inflict(\~ice\~[;]%VAR%); sfx(\~_ice\~);~[;]self[;]self[;]d[;](20)); sfx(~_thinghappens~);,Refrigerator,MIN3,,BRIGHTCYAN,,,,,0,YES,NO,,,,,,,,,,,,,
Cold Cut,Do [ice] 7 damage,2,sfx(~_ice~); attack(7[;] ICE); sfxdamage(target[;] 7);,Flash Freeze,REQUIRE1|REQUIRE1,,BRIGHTCYAN,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Cold Cut_upgraded,Do [ice] 7 damage,2,sfx(~_ice~); attack(7[;] ICE); sfxdamage(target[;] 7);,Flash Freeze,DOUBLES|DOUBLES,,BRIGHTCYAN,,,,,0,NO,NO,,,,,,,,,,,,,
