Name,Displayed As,Symbol,Description,Stacks?,Remove at End Turn?,Remove at Start Turn?,Invisible?,Blocked by Reduce?,Script: When inflicted,Script: On any status infliction,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: After Combat,Script: On damage inflicted,Script: On damage taken,Script: On status remove
Slush,Slush,shiver,All [ice] ice damage is cut in half,YES,NO,NO,NO,NO,,,,,,,var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~Slush\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,,if(dmgtype == ICE) { attack(-dmg / 2); },,
Damageup,Power Boost,sword,Do [sword]<value> extra damage with each attack this turn.,YES,YES,NO,NO,NO,,,,,,,,,target.hp -= getstatusself(~Damageup~); target.textparticle(~[red]+~+getstatusself(~Damageup~));,,
Permaboost,Perma Boost,sword,Do [sword]<value> extra damage with each attack this battle.,YES,NO,NO,NO,NO,,,,,,,,,target.hp -= getstatusself(~Permaboost~); target.textparticle(~[red]+~+getstatusself(~Permaboost~));,,
Regen,Regen,regen,Heal by [heal]<value> for every attack this turn,YES,YES,NO,NO,NO,,,,,attackself(-getstatusself(~Regen~)); sfx(~_heal~);,,,,,,
ShieldEater,ShieldEater,shieldeater,Constantly destroys half of current shield,YES,NO,NO,NO,NO,,,,,,,var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~ShieldEater\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move(); attackself(getstatusself(SHIELD) / 2); sfxdamage(target[;] d); sfx(~_shield~);,,,,
Bleed,Bleed,bleed,Take [red]<value> [white]damage when using any equipment.|Pierces shields,YES,YES,NO,NO,NO,,,,,pierceattackself(getstatusself(~Bleed~)); sfx(~_poison~); sfxdamage(target[;] d); self.textparticle(~[red]Bleeding out!~);,,,,,,
Dodgey,Dodgey,dodge,All attacks have a 50% chance to deal 50% less damage,YES,NO,NO,NO,NO,,,,var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~Dodgey\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,,,,,,if(chance(50)){ self.hp += (dmg/2); sfx(~_dodge~); self.textparticle(~[yellow]DODGED!~); },
Stun,Stun,stun,<value> equipment is disabled this turn,YES,YES,NO,NO,NO,var goodeq = []; for(eq in self.equipment){ if(eq.availablethisturn){ goodeq.push(eq); }; }; goodeq = shuffle(goodeq); var s = getstatusself(~Stun~); while(goodeq.length > 0 && s > 0){ s-=1; var r = goodeq.pop(); r.availablethisturn = false; r.unavailabledetails = [~Stunned~]; r.animate(~flashandshake~); }; sfx(~_shock~);,,,var goodeq = []; for(eq in self.equipment){ if(eq.availablethisturn){ goodeq.push(eq); }; }; goodeq = shuffle(goodeq); var s = getstatusself(~Stun~); while(goodeq.length > 0 && s > 0){ s-=1; var r = goodeq.pop(); r.availablethisturn = false; r.unavailabledetails = [~Stunned~]; r.animate(~flashandshake~); }; sfx(~_shock~);,,,,,,,
Drowning,Drowning,potion,Take 1 damage for every countdown reduce and equipment used,NO,NO,NO,NO,NO,,,,,pierceattackself(1); sfx(~_poison~); sfxdamage(target[;] d); self.textparticle(~[blue]DROWNING!~);,pierceattackself(1); sfx(~_poison~); sfxdamage(target[;] d); self.textparticle(~[blue]DROWNING!~);,,,,,
Perma Reduce,Prema_Reduce,reduce,Take less damage from every attack this battle.,YES,NO,NO,NO,NO,inflictself(REDUCE[;] status.value); sfx(~_shield~);,,,inflictself(REDUCE[;] status.value); sfx(~_shield~);,,,,,,,
Blighted,[purple]Blighted,vanish,[purple]Has 30% chance to give [dodge]1 [purple]to enemy on equipment use|[purple]Has 20% chance to deal 3 damage on equipment use,NO,YES,NO,NO,NO,,,,,if(chance(30)){ inflict(~DODGE~[;] 1); sfx(~_shock~); } if(chance(20)){ pierceattackself(3); sfxdamage(target[;] 3); },,,,,,
regeneration,Regeneration,grace,Heal [heal]<value> health at the start of turn.,YES,NO,NO,NO,NO,,,,attackself(-getstatusself(~regeneration~)); sfx(~_heal~); var s = new elements.Skill(~Against All Odds_old~); s.script=~removestatusself(\~Regeneration\~[;] 1);~; var tw = new motion.actuators.SimpleActuator(null[;]0[;]null); tw._repeat = 1; tw.onRepeat(s.execute[;][self[;]target]); tw.move();,,,,,,,
Powerdown,Power_Down,powerdown,Do [sword]-<value> less damage with each attack this turn.|If attacks deal less damage than power down heal enemy with the difference,YES,YES,NO,NO,NO,,,,,,,,,target.hp += getstatusself(~Powerdown~); target.textparticle(~[red]-~-getstatusself(~Powerdown~));,,
Permadown,Perma_Down,powerdown,Do [sword]-<value> less damage with each attack this turn.|If attacks deal less damage than power down heal enemy with the difference|Max of 4,YES,NO,NO,NO,NO,if(getstatusself(~Permadown~) >= 4) { removestatusself(~Permadown~[;] getstatusself(~Permadown~) - 4); },,if(getstatusself(~Permadown~) >= 4) { removestatusself(~Permadown~[;] getstatusself(~Permadown~) - 4); },,,,,,target.hp += getstatusself(~Permadown~); target.textparticle(~[red]-~-getstatusself(~Permadown~));,,
