Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Mystery Box,Very mysterious,1,giveequipment(rand(getequipmentlist(null[;][~decor~][;][]))[;]true[;]false);,Reversal,NORMAL,,YELLOW,change_power,noeffect,,,0,YES,NO,excludefromrandomlists|cannotreuse,,,,,,,,,delay(1.0);,,e.preventdefault = true; e.maintainfury = true;,
Call for Backup Warrior?,Warrior Charge|Add 3 to Kapow damage,2,self.setvar(~kapowcount~[;] self.getvar(~kapowcount~) + 3); sfx(~_magic~);,,,,BRIGHTCYAN,,change_power,,none,0,YES,NO,excludefromrandomlists|alternateversion|powercard|curseavoid,,,,,,,,,,,,
Call for Backup Warrior?_downgraded,Pea Gun|Do [sword]3 damage,2,attack(3);,Lucky Shot,,,BRIGHTCYAN,,,,none,0,NO,NO,excludefromrandomlists|powercard|curseavoid,,,,,,,,,,,,
Scrap Kettle,Start turn: Burn yourself|(Always offered as scrap),1,,Frying Pan,,,GRAY,change_power,change_power,,none,0,NO,NO,excludefromrandomlists|appearsforparts,,,,if(target.hp > 0) { inflictself(FIRE[;]1); e.animate(~flashandshake~); if(self.getvar(~kettlesfx~) != 1) { self.setvar(~kettlesfx~[;]1); sfx(~_fire~); } },,,,self.setvar(~kettlesfx~[;]0);,,,,
Scrap Kettle_upgraded,[95%]Start turn: Roll a burning dice|(Always offered as scrap),1,,Frying Pan,,,GRAY,,,,none,0,NO,NO,excludefromrandomlists|appearsforparts,,,,,e.animate(~flashandshake~); inflictself(FIRE[;]1); givedice(); sfx(~_fire~);,,,,,,,
Scrap Kettle_downgraded,Start turn: Gain [fire]2 burn|(Always offered as scrap),1,,Frying Pan,,,GRAY,,,,none,0,NO,NO,excludefromrandomlists|appearsforparts,,,,if(target.hp > 0) { inflictself(FIRE[;]2); e.animate(~flashandshake~); if(self.getvar(~kettlesfx~) != 1) { self.setvar(~kettlesfx~[;]1); sfx(~_fire~); } },,,,self.setvar(~kettlesfx~[;]0);,,,,
Iced Latte,Start turn: Freeze yourself|(Always offered as scrap),1,,Ice Cream Truck,,,GRAY,change_power,change_power,,none,0,NO,NO,excludefromrandomlists|appearsforparts,,,,if(target.hp > 0) { inflictself(ICE[;]1); e.animate(~flashandshake~); if(self.getvar(~lattesfx~) != 1) { self.setvar(~lattesfx~[;]1); sfx(~_ice~); } },,,,self.setvar(~lattesfx~[;]0);,,,,
Iced Latte_upgraded,[95%]Start turn: roll an extra one|(Always offered as scrap),1,,Ice Cream Truck,,,GRAY,,,,none,0,NO,NO,excludefromrandomlists|appearsforparts,,,,,e.animate(~flashandshake~); givedice(1);,,,,,,,
Iced Latte_downgraded,Start turn: Gain [ice]2 freeze|(Always offered as scrap),1,,Ice Cream Truck,,,GRAY,,,,none,0,NO,NO,excludefromrandomlists|appearsforparts,,,,if(target.hp > 0) { inflictself(ICE[;]2); e.animate(~flashandshake~); if(self.getvar(~lattesfx~) != 1) { self.setvar(~lattesfx~[;]1); sfx(~_ice~); } },,,,self.setvar(~lattesfx~[;]0);,,,,
Judgement@plants,Do [sword]<triple>[;] plants|take only [sword]1 damage,2,var exceptions = Finale.getjudgementlist(~plants~); if(exceptions.indexOf(target.name) == -1) { attack(d * 3); sfx(~_judgement_hit~); } else { attack(1); bonus(d * 1000); sfx(~_judgement_miss~); },Time Stop,NORMAL,,PINK,change_power,change_power,,,0,NO,NO,excludefromrandomlists|curseavoid,,,,,,,,,,,,
Judgement@plants_upgraded,Do [sword]<quadruple>[;] plants|take only [sword]1 damage,2,var exceptions = Finale.getjudgementlist(~plants~); if(exceptions.indexOf(target.name) == -1) { attack(d * 4); sfx(~_judgement_hit~); } else { attack(1); bonus(d * 1000); sfx(~_judgement_miss~); },Time Stop,NORMAL,,PINK,,,,,0,NO,NO,excludefromrandomlists|curseavoid,,,,,,,,,,,,
Judgement@plants_downgraded,Do [sword]<d6>[;] plants|take only [sword]1 damage,2,var exceptions = Finale.getjudgementlist(~plants~); if(exceptions.indexOf(target.name) == -1) { attack(d); sfx(~_judgement_hit~); } else { attack(1); bonus(d * 1000); sfx(~_judgement_miss~); },Time Stop,NORMAL,,PINK,,,,,0,NO,NO,excludefromrandomlists|curseavoid,,,,,,,,,,,,
Judgement@hats,Do [sword]<triple>[;] hat wearers|take only [sword]1 damage,2,var exceptions = Finale.getjudgementlist(~hats~); if(exceptions.indexOf(target.name) == -1) { attack(d * 3); sfx(~_judgement_hit~); } else { attack(1); bonus(d * 1000); sfx(~_judgement_miss~); },Time Stop,NORMAL,,PINK,change_power,change_power,,,0,NO,NO,excludefromrandomlists|curseavoid,,,,,,,,,,,,
Judgement@hats_upgraded,Do [sword]<quadruple>[;] hat wearers|take only [sword]1 damage,2,var exceptions = Finale.getjudgementlist(~hats~); if(exceptions.indexOf(target.name) == -1) { attack(d * 4); sfx(~_judgement_hit~); } else { attack(1); bonus(d * 1000); sfx(~_judgement_miss~); },Time Stop,NORMAL,,PINK,,,,,0,NO,NO,excludefromrandomlists|curseavoid,,,,,,,,,,,,
Judgement@hats_downgraded,Do [sword]<d6>[;] hat wearers|take only [sword]1 damage,2,var exceptions = Finale.getjudgementlist(~hats~); if(exceptions.indexOf(target.name) == -1) { attack(d); sfx(~_judgement_hit~); } else { attack(1); bonus(d * 1000); sfx(~_judgement_miss~); },Time Stop,NORMAL,,PINK,,,,,0,NO,NO,excludefromrandomlists|curseavoid,,,,,,,,,,,,
Judgement@green,Do [sword]<triple>[;] green things|take only [sword]1 damage,2,var exceptions = Finale.getjudgementlist(~green~); if(exceptions.indexOf(target.name) == -1) { attack(d * 3); sfx(~_judgement_hit~); } else { attack(1); bonus(d * 1000); sfx(~_judgement_miss~); },Time Stop,NORMAL,,PINK,change_power,change_power,,,0,NO,NO,excludefromrandomlists|curseavoid,,,,,,,,,,,,
Judgement@green_upgraded,Do [sword]<quadruple>[;] green things|take only [sword]1 damage,2,var exceptions = Finale.getjudgementlist(~green~); if(exceptions.indexOf(target.name) == -1) { attack(d * 4); sfx(~_judgement_hit~); } else { attack(1); bonus(d * 1000); sfx(~_judgement_miss~); },Time Stop,NORMAL,,PINK,,,,,0,NO,NO,excludefromrandomlists|curseavoid,,,,,,,,,,,,
