Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
[BEGIN ESSENTIALS],,1,,,,,,,,,,,,,internal|excludefromrandomlists,,,,,,,,,,,,
Inventor Gadgets,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,,,,,,,,,,,
Robot Calculate,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,,,,,,,,,,,
Robot Request,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,,,,,,,,,,,
Thief Stolen Card,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,,,,,,,,,,,
Witch Spellbook,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,,,,,,,,,,,
Witch Deck,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,,,,,,,,,,,
Jester Deck,(special),2,,,,,GRAY,,,,none,0,NO,NO,cannotsteal|skillcard,,,,,,,,,,,,
Combat Roll,Reroll a dice|[gray](Reuseable),2,givedice();,Random Roll,NORMAL,,GRAY,,,,,3,YES,NO,excludefromrandomlists|cannotsteal,,,,,,,,,,,,
[END ESSENTIALS],,1,,,,,,,,,,,,,internal|excludefromrandomlists,,,,,,,,,,,,
[BEGIN ENEMY EQUIPMENT],,1,,,,,,,,,,,,,internal|excludefromrandomlists,,,,,,,,,,,,
Magic Missile,Do [sword]5 damage,1,attack(5);,Magic Dice,EVEN,,YELLOW,change_power,complicate,,,0,NO,NO,excludefromrandomlists,1,,,,,,,,,,,
Magic Missile_upgraded,Do [sword]8 damage,1,attack(8);,Magic Dice,EVEN,,YELLOW,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Magic Shield,Add [shield]3 shield,1,inflictself(SHIELD| 3);,Barricade,ODD,,ORANGE,change_power,complicate,,,0,YES,NO,excludefromrandomlists,1,,,,,,,,,,,
Magic Shield_upgraded,Add [shield]4 shield,1,inflictself(SHIELD| 4);,Barricade,ODD,,ORANGE,,,,,0,YES,NO,excludefromrandomlists,,,,,,,,,,,,
Infliction,Do [sword]3 damage,1,attack(3);,Bubble Gun,NORMAL,,RED,change_power,complicate,,,0,NO,NO,excludefromrandomlists,1,,,,,,,,,,,
Infliction_upgraded,Do [sword]4 damage,1,attack(4);,Bubble Gun,NORMAL,,RED,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Plasma Cannon,Do [sword]10 damage,1,attack(10);,Accelerate,COUNTDOWN,20,RED,threequartercountdown,change_power,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Plasma Cannon_weakened,Do [sword]5 damage,1,attack(5);,Accelerate,COUNTDOWN,15,RED,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Plasma Cannon_downgraded,Do [sword]5 damage,1,attack(5);,Accelerate,COUNTDOWN,20,RED,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Shovel,Do [weaken]<d6> damage[;]|on 6[;] inflict [weaken]1 weaken,2,attack(d | WEAKEN); if(d == 6) inflict(WEAKEN); if(d < 6) { sfxdamage(target|d); } else { sfxdamage(target|d); sfx(~_weaken~|~~|0.2); },Burrower,NORMAL,,ORANGE,change_power,change_power,weaken,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Shovel_upgraded,Do [weaken]<d6> damage[;]|on even[;] inflict [weaken]1 weaken,2,attack(d | WEAKEN); if(d % 2 == 0) inflict(WEAKEN); if(d % 2 == 1) { sfxdamage(target|d); } else { sfxdamage(target|d); sfx(~_weaken~|~~|0.2); },Burrower,NORMAL,,ORANGE,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Shovel_downgraded,Do [weaken]<d6> damage,2,attack(d | WEAKEN);,Burrower,NORMAL,,ORANGE,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Fireball,Deal [fire]<d6> damage|Burn [fire]1 dice,1,attack(d| FIRE); inflict(FIRE| 1);,Hellfire,EVEN,,RED,change_power,change_power,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Fireball_upgraded,Deal [fire]<d6> damage|Burn [fire]2 dice,1,attack(d| FIRE); inflict(FIRE| 2);,Hellfire,EVEN,,RED,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Fireball_downgraded,Deal [sword]<d6> damage,1,attack(d);,Hellfire,EVEN,,RED,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Fire Breath,Do [fire]4 damage|Burn [fire]1 dice,2,attack(4| FIRE); inflict(FIRE| 1);,Hellfire,COUNTDOWN,5,RED,change_power,change_power,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Fire Breath_upgraded,Do [fire]6 damage|Burn [fire]1 dice,2,attack(6| FIRE); inflict(FIRE| 1);,Hellfire,COUNTDOWN,5,RED,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Fire Breath_downgraded,Do [sword]4 damage,2,attack(4);,Hellfire,COUNTDOWN,5,RED,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Ice Breath,Do [ice]4 damage|Inflict [ice]1 freeze,2,attack(4| ICE); inflict(ICE| 1);,Arctic Storm,COUNTDOWN,5,BRIGHTCYAN,change_power,change_power,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Ice Breath_upgraded,Do [ice]6 damage|Inflict [ice]1 freeze,2,attack(6| ICE); inflict(ICE| 1);,Arctic Storm,COUNTDOWN,5,BRIGHTCYAN,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Ice Breath_downgraded,Do [sword]3 damage,2,attack(3);,Arctic Storm,COUNTDOWN,5,BRIGHTCYAN,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Ray Gun,Do [sword]3 damage|[gray](Reuseable),1,attack(3);,Plasma Gun,MIN3,,RED,change_power,complicate,,,3,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Ray Gun_upgraded,Do [sword]4 damage|[gray](Reuseable),1,attack(4);,Plasma Gun,MIN3,,RED,,,,,3,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Plasma Blaster,Do [sword]<d6> damage,1,attack(d);,Plasma Gun,MAX5,,RED,increaserange,complicate,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Slime Ball,Add [poison]2 poison,1,inflict(POISON| 2);,Emetic,EVEN,,PURPLE,change_power,complicate,,,0,NO,NO,excludefromrandomlists,1,,,,,,,,,,,
Slime Ball_upgraded,Add [poison]3 poison,1,inflict(POISON| 3);,Emetic,EVEN,,PURPLE,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Toxic Ooze,Do [sword]<d6> damage[;]|on 6[;] add [poison]2 poison,2,attack(d); if(d == 6) inflict(POISON | 2); if(d >= 6) { sfx(~_poison~|~~|0.2); } sfxdamage(target|d); ,Emetic,NORMAL,,PURPLE,change_power,change_power,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
